id,date,mean,min,max,stdev,field,year,month,day,month_day
47,2018-05-13,0.15303991673250053,0.07405213266611099,0.5478686094284058,0.025312234839552146,G1,2018,5,13,05-13
48,2018-05-08,0.15086641746486154,0.06631647795438766,0.5077041387557983,0.02504001882058414,G1,2018,5,8,05-08
49,2018-05-05,0.14685991890309114,0.07140649110078812,0.4803646504878998,0.025795253933826957,G1,2018,5,5,05-05
50,2018-05-03,0.15321194278100625,0.07854091376066208,0.5329383015632629,0.025075091316495775,G1,2018,5,3,05-03
51,2018-04-28,0.15171905768333335,0.05837387219071388,0.5351002812385559,0.02623878065563176,G1,2018,4,28,04-28
52,2018-04-25,0.15600393249742214,0.07983576506376266,0.5490401387214661,0.030072746969300897,G1,2018,4,25,04-25
53,2018-04-23,0.15715474166146814,0.06098628416657448,0.5443592667579651,0.027416053728676674,G1,2018,4,23,04-23
54,2018-04-18,0.15766276804808105,0.05758906900882721,0.5438225865364075,0.027081915282788686,G1,2018,4,18,04-18
55,2018-04-15,0.16039300719554914,0.08681672066450119,0.5112881660461426,0.02799777695035458,G1,2018,4,15,04-15
56,2018-04-13,0.11114909444872872,-0.0784313753247261,0.4514221251010895,0.04562287376282842,G1,2018,4,13,04-13
57,2018-04-10,0.1500717419917677,0.06267499178647995,0.5307742953300476,0.02755701594572939,G1,2018,4,10,04-10
58,2018-04-08,0.1546732133578793,0.04802259802818298,0.5677996277809143,0.02873911215765068,G1,2018,4,8,04-08
59,2018-04-05,0.15703547559388661,0.05669224262237549,0.5287671089172363,0.03339139305811351,G1,2018,4,5,04-05
60,2018-03-31,0.15456934461135516,0.047036491334438324,0.5654539465904236,0.032164860070237375,G1,2018,3,31,03-31
61,2018-03-29,0.15536553224017566,0.05844346433877945,0.5484825968742371,0.03235203535180708,G1,2018,3,29,03-29
62,2018-03-24,0.16252711341220774,0.07870036363601685,0.5907473564147949,0.031783702844943466,G1,2018,3,24,03-24
63,2018-03-19,0.15904608955457922,0.0680604949593544,0.5719844102859497,0.03494154545013269,G1,2018,3,19,03-19
64,2018-03-16,0.16190888948214988,0.04516938701272011,0.5628306865692139,0.03832975602395547,G1,2018,3,16,03-16
65,2018-03-14,0.16601211069371608,0.06838106364011765,0.5948089361190796,0.03783362581226525,G1,2018,3,14,03-14
66,2018-03-11,0.16153120939987572,0.022767074406147003,0.6100462675094604,0.037447897708322214,G1,2018,3,11,03-11
67,2018-02-27,0.16768466929457795,0.028519418090581894,0.6045927405357361,0.02579506596675403,G1,2018,2,27,02-27
68,2018-02-22,0.16476236722752374,0.08188198506832123,0.529928982257843,0.020204837446830888,G1,2018,2,22,02-22
69,2018-02-19,0.15134057703874199,0.062303029000759125,0.483132541179657,0.01856503736126161,G1,2018,2,19,02-19
70,2018-02-14,0.1508746321662646,0.06183262914419174,0.5127652883529663,0.019290251807259722,G1,2018,2,14,02-14
